A Little Chat|Conversinha
Bane of Bala Ged|Ruína de Bala Ged
Bane of Hanweir|Desgraça de Hanweir
Bane of the Living|Perdição dos Vivos
Bane's Contingency|Contingência de Bane
Bane's Invoker|Invocadora de Bane
Bane, Lord of Darkness|Bane, Senhor das Trevas
Banefire|Fogo Devastador
Baneful Omen|Presságio Nefasto
Banehound|Sabujo Maldito
Baneslayer Angel|Anjo Exterminador do Mal
Banewasp Affliction|Aflição de Vespa-Voraz
Banewhip Punisher|Castigadora do Chicote da Ruína
Banish from Edoras|Banir de Edoras
Banisher Priest|Sacerdote Banidor
Banishing Knack|Talento Eliminador
Banishing Light|Luz Banidora
Banishing Slash|Cutilada Banidora
Banishing Stroke|Golpe Banidor
Banishment Decree|Decreto de Expulsão
Banishment|Banimento
Bankrupt in Blood|Falir em Sangue
Bannerhide Krushok|Krushok Courestandarte
Banners Raised|Estandartes Hasteados
Banquet Guests|Convidados do Banquete
Banshee's Blade|Lâmina da Banshee
Bant Battlemage|Mago de Combate de Bant
Bant Charm|Medalhão de Bant
Bant Panorama|Panorama de Bant
Bant Sojourners|Visitantes de Bant
Bant Sureblade|Lâmina Certeira de Bant
Bar the Door|Barrar a Porta
Bar the Gate|Barrar o Portal
Barad-dûr|Barad-dûr
Baral and Kari Zev|Baral e Kari Zev
Baral's Expertise|Especialidade de Baral
Baral, Chief of Compliance|Baral, Chefe da Conformidade
Barbarian Bully|Bárbaro Rufião
Barbarian Class|Classe: Bárbaro
Barbarian Guides|Guias Bárbaros
Barbarian Lunatic|Bárbaro Lunático
Barbarian Outcast|Bárbaro Exilado
Barbarian Riftcutter|Demolidor Bárbaro
Barbarian Ring|Ringue dos Bárbaros
Barbed Batterfist|Punho Batedor Farpado
Barbed Battlegear|Equipamento de Batalha Farpado
Barbed Field|Campo Farpado
Barbed Foliage|Folhagem Farpada
Barbed Lightning|Relâmpago Farpado
Barbed Sextant|Sextante Farpado
Barbed Shocker|Estraçalhador Farpado
Barbed Sliver|Fractius Farpado
Barbed Spike|Aguilhão Farpado
Barbed Wire|Arame Farpado
Barbed-Back Wurm|Vorme de Dorso Farpado
Barbtooth Wurm|
Bard Class|Classe: Bardo
Bargaining Table|Mesa de Negociação
Bargain|
Barge In|Forçar a Entrada
Barging Sergeant|Sargento Cambaleante
Barishi|Barishi
Barkhide Mauler|Pugilista de Couro de Cortiça
Barkhide Troll|Trol Cascacouro
Barkshell Blessing|Bênção da Couraça Lenhosa
Barkweave Crusher|Esmagador da Casca Retorcida
Barl's Cage|Gaiola de Barl
Baron Sengir|Barão Sengir
Barony Vampire|Vampiro do Baronato
Barrage Ogre|Ogre Bombardeiro
Barrage Tyrant|Tirano da Barragem
Barrage of Boulders|Barragem de Pedregulhos
Barrage of Expendables|Barreira de Descartáveis
Barrel Down Sokenzan|Investindo Sokenzan Abaixo
Barreling Attack|Ataque de Roldão
Barren Glory|Glória Estéril
Barren Moor|Charneca Estéril
Barrenton Cragtreads|Trilha-Penhasco de Barrenton
Barrenton Medic|Médico de Barrenton
Barricade Breaker|Rompedor de Barricadas
Barrier Breach|Ruptura na Barreira
Barrier of Bones|Muralha de Ossos
Barrin's Codex|Codex de Barrin
Barrin's Spite|Rancor de Barrin
Barrin's Unmaking|Desfazer de Barrin
Barrin, Master Wizard|Barrin, Mago Mestre
Barrin, Tolarian Archmage|Barrin, Arquimago Tolariano
Barroom Brawl|Briga de Taverna
Barrow Ghoul|Carniçal do Túmulo
Barrow Witches|Bruxas da Mamoa
Barrow-Blade|Lâmina dos Túmulos
Barrowin of Clan Undurr|Barrowin do Clã Undurr
Barter in Blood|Escambo de Sangue
Bartered Cow|Vaca Barganhada
Bartizan Bats|Morcegos de Bartizan
Baru, Fist of Krosa|Baru, o Punho de Krosa
Baru, Wurmspeaker|Baru, Encantador de Vormes
Basal Sliver|Fractius Basal
Basalt Gargoyle|Gárgula de Basalto
Basalt Golem|Golem de Basalto
Basalt Monolith|Monólito de Basalto
Basalt Ravager|Devastador de Basalto
Base Camp|Acampamento Base
Bash to Bits|Fazer em Pedaços
Basic Conjuration|Conjuração Básica
Basilica Bell-Haunt|Assombração do Sino da Basílica
Basilica Guards|Guardas da Basílica
Basilica Screecher|Sibilador da Basílica
Basilica Shepherd|Pastora da Basílica
Basilica Skullbomb|Bombacrânio da Basílica
Basilisk Collar|Colar de Basilisco
Basilisk Gate|Portão do Basilisco
Basking Rootwalla|Rizowalla Preguiçoso
Basri Ket|Basri Ket
Basri's Acolyte|Acólita de Basri
Basri's Aegis|Égide de Basri
Basri's Lieutenant|Tenente de Basri
Basri's Solidarity|Solidariedade de Basri
Basri, Devoted Paladin|Basri, Paladino Devoto
Bassara Tower Archer|Arqueiro da Torre de Bassara
Bastion Enforcer|Impositora do Bastião
Bastion Inventor|Inventor do Bastião
Bastion Mastodon|Mastodonte do Bastião
Bastion Protector|Protetora do Bastião
Bastion of Remembrance|Bastião da Recordação
Bat Whisperer|Encantadora de Morcegos
Bathe in Dragonfire|Imergir em Fogo Dragônico
Bathe in Light|Banho de luz
Baton of Courage|Bastão da Coragem
Baton of Morale|Bastão de Incentivo Moral
Battalion Foot Soldier|Infantaria do Batalhão
Batterbone|Osso-marreta
Battered Golem|Golem Amassado
Batterhorn|Chifres Demolidores
Battering Craghorn|Demolidor de Chifres Escarpados
Battering Krasis|
Battering Ram|Aríete
Battering Sliver|Fractius Demolidor
Battering Wurm|Vorme Demolidor
Battershield Warrior|Guerreiro do Escudo Golpeador
Batterskull|Crânio-Marreta
Battery Bearer|Portadora de Baterias
Battery|Assalto
Battle Angels of Tyr|Anjos de Batalha de Tyr
Battle Brawler|Rufião de Batalha
Battle Cry Goblin|Goblin do Grito de Guerra
Battle Cry|Grito de Guerra
Battle Display|Exibição em Batalha
Battle Frenzy|Frenesi de Batalha
Battle Hurda|Hurda de Batalha
Battle Hymn|Hino de Batalha
Battle Mammoth|Mamute de Batalha
Battle Mastery|Maestria na Batalha
Battle Plan|Plano de Batalha
Battle Rampart|Antemuro de Batalha
Battle Screech|Guinchado de Guerra
Battle Sliver|Fractius de Batalha
Battle Squadron|Esquadrão de Batalha
Battle Strain|Tensão da Batalha
Battle at the Bridge|Batalha na Ponte
Battle for Bretagard|Batalha por Bretagard
Battle of Frost and Fire|Batalha de Geada e Fogo
Battle of Wits|Batalha de Raciocínio
Battle-Mad Ronin|Ronin Louco por Batalha
Battle-Rage Blessing|Bênção da Fúria de Batalha
Battle-Rattle Shaman|Xamã do Chocalho-de-Guerra
Battle-Scarred Goblin|Goblin Veterano de Guerra
Battlefield Butcher|Açougueiro do Campo de Batalha
Battlefield Forge|Forjaria do Campo de Batalha
Battlefield Medic|Paramédico do Campo de Batalha
Battlefield Percher|Pérchero do Campo de Batalha
Battlefield Promotion|Promoção em Campo
Battlefield Raptor|Raptor do Campo de Batalha
Battlefield Scavenger|Rapace dos Campos de Batalha
Battlefield Scrounger|Parasita do Campo de Batalha
Battlefield Thaumaturge|Taumaturgo da Batalha
Battleflight Eagle|Águia do Voo de Batalha
Battlefly Swarm|Enxame de Moscas de Guerra
Battlefront Krushok|Krushok da Frente de Batalha
Battlegate Mimic|Mímico do Portão de Batalha
Battlegrace Angel|Anjo da Graça de Batalha
Battleground Geist|Geist do Campo de Batalha
Battlegrowth|Crescer na Batalha
Battlemage's Bracers|Braceletes do Mago de Batalha
Battletide Alchemist|Alquimista do Rumo da Batalha
Battlewand Oak|Carvalho Vara-de-Guerra
Battlewing Mystic|Místico da Asa Bélica
Battlewise Aven|Aviano Guerreador
Battlewise Hoplite|Hoplita Belisábio
Battlewise Valor|Bravura dos Belisábios
Batwing Brume|Bruma Asa-de-Morcego
Bay Falcon|Falcão da Baía
Bayou Dragonfly|Libélula do Pantanal
Bayou Groff|Groff do Mangue
Bazaar Krovod|Krovod do Bazar
Bazaar Trademage|Magimercante do Bazar
Bazaar Trader|Negociante do Mercado
Bazaar of Wonders|Bazar de Maravilhas
Beacon Behemoth|Behemoth Sinalizador
Beacon Bolt|Raio do Farol
Beacon Hawk|Falcão-Guia
Beacon of Creation|Guia da Criação
Beacon of Destiny|Iluminador do Destino
Beacon of Destruction|Guia da Destruição
Beacon of Immortality|Guia da Imortalidade
Beacon of Tomorrows|Guia dos Amanhãs
Beacon of Unrest|Guia da Inquietação
Beaming Defiance|Desafio Resplandecente
Beamsplitter Mage|Mago Parte-raio
Beamtown Beatstick|Bastão de Surra de Vigópolis
Beanstalk Giant|Gigante do Pé de Feijão
Bear Cub|
Bear Umbra|Sombra de Urso
Bear's Companion|Companheiro do Urso
Bearded Axe|Machado Barbado
Bearer of Memory|Portadora da Memória
Bearer of Overwhelming Truths|Portador de Verdades Terríveis
Bearer of Silence|Portador do Silêncio
Bearer of the Heavens|Sustentáculo do Firmamento
Bearscape|Vale dos Ursos
Beast Attack|Ataque das Bestas
Beast Hunt|Caçada de Feras
Beast Walkers|Batedores Metamorfos
Beast Whisperer|Encantador de Feras
Beast Within|Fera Interior
Beast of Burden|Besta de Carga
Beastbreaker of Bala Ged|Amansa-Fera de Bala Ged
Beastcaller Savant|Sábio Convocador de Feras
Beastmaster Ascension|Ascensão do Senhor das Feras
Beastmaster's Magemark|Sinal Mágico do Mestre da Besta
Beckon Apparition|Instigar Aparição
Beckoning Will-o'-Wisp|Fogo-fátuo Atrativo
Become Immense|Tornar Imenso
Bedazzle|Estupefazer
Bedeck|Embelezar
Bedevil|Atormentar
Bedlam Reveler|Folião do Caos
Bedlam|Tumultuar
Bee Sting|
Beetleform Mage|
Befoul|Conspurcar
Befuddle|Desconcertar
Begin the Invasion|Iniciar a Invasão
Beguiler of Wills|Ludibriador de Desejos
Behemoth Sledge|Martelo Behemoth
Behemoth's Herald|Arauto de Behemoth
Behind the Scenes|Nos Bastidores
Behold the Beyond|Contemplar o Além
Behold the Multiverse|Contemplar o Multiverso
Belbe's Armor|Armadura de Belbe
Belbe's Percher|Pérchero de Belbe
Belbe's Portal|Portal de Belbe
Belbe, Corrupted Observer|Belbe, Observadora Corrompida
Beledros Witherbloom|Beledros Murchaflor
Belfry Spirit|Espírito do Campanário
Believe|Acreditar
Belisarius Cawl|Belisarius Cawl
Bell Borca, Spectral Sergeant|Bell Borca, Sargento Espectral
Belle of the Brawl|Bela da Briga
Belligerent Brontodon|Brontodonte Beligerante
Belligerent Guest|Convidada Beligerante
Belligerent Hatchling|Cria Beligerante
Belligerent Sliver|Fractius Beligerante
Belligerent Whiptail|Cauda-de-chicote Belicoso
Bellowing Aegisaur|Egidossauro Urrante
Bellowing Elk|Alce Urrador
Bellowing Fiend|Demônio Vociferante
Bellowing Saddlebrute|Ginete Brutal Urrante
Bellowing Tanglewurm|Vorme do Emaranhado Ululante
Bellows Lizard|Lagarto de Fole
Belltoll Dragon|Dragão Dobrador de Sinos
Belltower Sphinx|Esfinge do Campanário
Beloved Chaplain|Capelão Adorado
Beloved Princess|Princesa Adorada
Belt of Giant Strength|Cinto da Força de Gigante
Ben-Ben, Akki Hermit|Ben-Ben, Eremita Akki
Benalish Cavalry|Cavalaria de Benália
Benalish Commander|Comandante de Benália
Benalish Emissary|Emissário de Benália
Benalish Faithbonder|Benalish Faithbonder
Benalish Heralds|Arautos de Benália
Benalish Hero|Heroína de Benália
Benalish Honor Guard|Guarda de Honra de Benália
Benalish Infantry|Infantaria de Benália
Benalish Knight|Cavaleiro de Benália
Benalish Lancer|Lanceiro de Benália
Benalish Marshal|Marechal de Benália
Benalish Missionary|Missionário de Benália
Benalish Sleeper|Adormecido de Benália
Benalish Trapper|Armadilheiro de Benália
Benalish Veteran|Veterano de Benália
Bend or Break|Dobrar ou Partir
Beneath the Sands|Sob as Areias
Benediction of Moons|Bênção das Luas
Benefaction of Rhonas|Beneficência de Rhonas
Benefactor's Draught|Poção da Benfeitora
Benevolent Ancestor|Ancestral Benevolente
Benevolent Blessing|Bênção Benevolente
Benevolent Bodyguard|Guarda-Costas Benevolente
Benevolent Offering|Oferenda Benevolente
Benevolent Unicorn|Unicórnio Benevolente
Bennie Bracks, Zoologist|Bennie Bracks, Zoólogo
Benthic Behemoth|Behemoth Bêntico
Benthic Biomancer|Biomante Bêntico
Benthic Djinn|Gênio Bêntico
Benthic Explorers|Exploradores Bênticos
Benthic Giant|Gigante Bentônico
Benthic Infiltrator|Infiltrador Bêntico
Benthicore|Bentícora
Bequeathal|Legacão
Bereavement|Privação
Beregond of the Guard|Beregond da Guarda
Berg Strider|Andarilho de Icebergs
Berserk Murlodont|Murlodonte Enfurecido
Berserker's Frenzy|Frenesi do Berserker
Berserkers of Blood Ridge|Amoques das Montanhas Sanguíneas
Berserkers' Onslaught|Investida dos Amoques
Beseech the Queen|Suplicar à Rainha
Beskir Shieldmate|Escudeira Beskir
Bestial Fury|Fúria Bestial
Bestial Menace|Ameaça Bestial
Betrayal of Flesh|Traição da Carne
Betrayal|Traição
Betrothed of Fire|Prometido do Fogo
Bewilder|Desnortear
Bewitching Leechcraft|Medicina Enfeitiçante
Beyeen Coast|Costa de Beyeen
Beyeen Veil|Véu de Beyeen
Bhaal's Invoker|Invocador de Bhaal
Bhaal, Lord of Murder|Bhaal, Senhor do Assassinato
Biblioplex Assistant|Assistente do Biblioplexo
Bident of Thassa|Bidente de Tassa
Bifurcate|Bifurcar
Big Game Hunter|Caçador de Grandes Presas
Big Play|Grande Jogada
Big Score|Sorte Grande
Bilbo's Ring|Anel de Bilbo
Bilbo, Birthday Celebrant|Bilbo, Aniversariante
Bilbo, Retired Burglar|Bilbo, Ladrão Aposentado
Bile Blight|Bileputríase
Bile Urchin|Azucrim de Bile
Bilious Skulldweller|Cranito Bilioso
Bill Ferny, Bree Swindler|Bill Samambaia, Vigarista de Bree
Bill the Pony|Bill, o Pônei
Bind the Monster|Aprisionar o Monstro
Binding Agony|Vínculo com a Agonia
Binding Grasp|Agarradura
Binding Mummy|Múmia Aprisionadora
Binding the Old Gods|Aprisionar os Antigos Deuses
Bind|Prender
Bioessence Hydra|Hidra de Bioessência
Biogenic Ooze|Lodo Biogênico
Biogenic Upgrade|Aperfeiçoamento Biogênico
Biomancer's Familiar|Familiar do Biomante
Biomantic Mastery|Maestria Biomântica
Biomass Mutation|Mutação de Biomassa
Biomathematician|Biomatemático
Biophagus|Biófago
Bioplasm|Bioplasma
Biorhythm|Biorritmo
Bioshift|Biomutação
Biotransference|Biotransferência
Biovisionary|Biovisionário
Biowaste Blob|Bolha de Biorresíduos
Birchlore Rangers|Patrulheiros Betulíneos
Bird Maiden|Donzela Alada
Birds of Paradise|Aves do Paraíso
Birth of the Imperium|Nascimento do Imperium
Birthday Escape|Fuga do Aniversário
Birthing Boughs|Ramos Incubadores
Birthing Hulk|Brutamontes Procriador
Birthing Pod|Casulo de Nascimento
Bishop of Binding|Bispo do Aprisionamento
Bishop of Rebirth|Bispo do Renascimento
Bishop of Wings|Bispa das Asas
Bishop of the Bloodstained|Bispo da Mancha-de-Sangue
Bishop's Soldier|Soldado do Bispo
Bite Down|Abocanhar
Biting Rain|Chuva Mordaz
Biting Tether|Corrente Mordaz
Biting-Palm Ninja|Ninja da Palma Mordedora
Bitter Downfall|Queda Amarga
Bitter Ordeal|Martírio Amargo
Bitter Reunion|Reencontro Amargo
Bitter Revelation|Revelação Amarga
Bitterblade Warrior|Guerreiro Laminamarga
Bitterblossom|Florescência Amarga
Bitterbow Sharpshooters|Atiradores do Arcoamargo
Bitterheart Witch|Bruxa do Coração Amargo
Bitterthorn, Nissa's Animus|Espinamarga, Animus de Nissa
Bituminous Blast|Explosão Betuminosa
Black Carriage|Carruagem Negra
Black Cat|Gato Preto
Black Dragon Gate|Portão do Dragão Negro
Black Dragon|Dragão Negro
Black Knight|Cavaleiro Negro
Black Mana Battery|Bateria de Mana Preta
Black Market Connections|Contatos no Mercado Negro
Black Market Tycoon|Magnata do Mercado Negro
Black Market|Mercado Negro
Black Oak of Odunos|Carvalho Negro de Odunos
Black Poplar Shaman|Choupo Negro Xamã
Black Scarab|Escaravelho Preto
Black Sun's Twilight|Crepúsculo do Sol Negro
Black Sun's Zenith|Zênite do Sol Negro
Black Vise|Prensa Negra
Black Ward|Defesa Preta
Blackblade Reforged|Lâmina Negra Reforjada
Blackbloom Bog|Charco de Nigriflor
Blackbloom Rogue|Ladina de Nigriflor
Blackcleave Cliffs|Penhascos de Fenda Negra
Blackcleave Goblin|Goblin de Fenda Negra
Blacklance Paragon|Paradigma Lançanegra
Blackmail|Chantagear
Blacksmith's Skill|Perícia de Ferreiro
Blade Banish|Banimento a Lâmina
Blade Historian|Historiador das Lâminas
Blade Instructor|Instrutora de Lâminas
Blade Juggler|Malabarista de Lâminas
Blade Sliver|Fractius de Lâmina
Blade Splicer|Implantador de Lâminas
Blade of Selves|Lâmina dos Egos
Blade of Shared Souls|Lâmina das Almas Compartilhadas
Blade of the Bloodchief|Espada do Grão-Vampiro
Blade of the Oni|Lâmina dos Oni
Blade of the Sixth Pride|Lâmina do Sexto Bando
Blade-Blizzard Kitsune|Kitsune da Tempestade de Lâminas
Blade-Tribe Berserkers|Amoques da Tribo da Espada
Bladeback Sliver|Fractius Laminodorso
Bladebrand|Lâmina Cauterizante
Bladecoil Serpent|Serpente Espiralâmina
Bladed Ambassador|Embaixador Laminado
Bladed Battle-Fan|Leque de Batalha Laminado
Bladed Bracers|Braceletes Blindados
Bladed Pinions|Penas Blindadas
Bladed Sentinel|Sentinela de Lâminas
Bladegraft Aspirant|Aspirante da Lâmina Enxertada
Bladegriff Prototype|Protótipo de Laminogrifo
Bladehold War-Whip|Chicote de Guerra de Bladehold
Blademane Baku|Baku de Lâminas
Blades of Velis Vel|Lâminas de Velis Vel
Bladestitched Skaab|Skaab das Lâminas Suturadas
Bladetusk Boar|Javali Canino-de-Navalha
Bladewing the Risen|Asas Laminadas, o Ressurgido
Bladewing's Thrall|Escravo do Asas Laminadas
Bladewing, Deathless Tyrant|Asas Laminadas, Tirano Imortal
Blanchwood Armor|Armadura de Blanchwood
Blanchwood Prowler|Espreitador de Blanchwood
Blanchwood Treefolk|Ents de Blanchwood
Blanket of Night|Manto da Noite
Blasphemous Act|Ato Blasfemo
Blast Zone|Zona de Explosão
Blast of Genius|
Blasted Landscape|Paisagem Devastada
Blaster Mage|Mago Destruidor
Blastfire Bolt|Raio de Fogo Explosivo
Blasting Station|Estação de Detonação
Blastoderm|Blastoderma
Blatant Thievery|Furto Espalhafatoso
Blaze Commando|
Blazethorn Scarecrow|Espantalho do Espinho Ardente
Blaze|Labareda
Blazing Archon|Arconte Flamejante
Blazing Blade Askari|Askári da Lâmina Flamejante
Blazing Crescendo|Escalada Flamejante
Blazing Hellhound|Sabujo Infernal Flamejante
Blazing Hope|Esperança Resplandecente
Blazing Rootwalla|Rizowalla Inflamado
Blazing Salvo|Salva Flamejante
Blazing Shoal|Cardume Flamejante
Blazing Specter|Espectro Flamejante
Blazing Sunsteel|Aço Solar Incandescente
Blazing Torch|Tocha Flamejante
Blazing Volley|Salva Incandescente
Bleak Coven Vampires|Vampiros do Conventículo Sombrio
Bleed Dry|Dessangrar até Secar
Bleeding Edge|Fio Sangrento
Blessed Alliance|Aliança Abençoada
Blessed Breath|Sopro Abençoado
Blessed Defiance|Desafio Abençoado
Blessed Light|Luz Abençoada
Blessed Orator|Orador Abençoado
Blessed Reincarnation|Reencarnação Abençoada
Blessed Respite|Trégua Abençoada
Blessed Reversal|Inversão Abençoada
Blessed Spirits|Espíritos Abençoados
Blessed Wind|Vento Abençoado
Blessed Wine|Vinho Abençoado
Blessing of Belzenlok|Bênção de Belzenlok
Blessing of Frost|Bênção da Geada
Blessing of Leeches|Benção de Sanguessugas
Blessing of the Nephilim|Benção do Nefilim
Blessings of Nature|Bênçãos da Natureza
Blessing|Benção
Blight Grenade|Granada de Praga
Blight Herder|Pastor da Desgraça
Blight Keeper|Guardião da Praga
Blight Mamba|Mamba Assoladora
Blight Mound|Monte de Praga
Blight Pile|Pilha de Praga
Blight Sickle|Foice da Desgraça
Blight Titan|Titã da Praga
Blight-Breath Catoblepas|Catoblepas Hálito-de-praga
Blightbeetle|Besouro Pútrido
Blightbelly Rat|Rato Barriga-de-praga
Blightcaster|Conjurador de Desgraça
Blighted Agent|Agente Deteriorado
Blighted Bat|Morcego Ressecado
Blighted Burgeoning|Brotamento Empesteado
Blighted Cataract|Catarata Flagelada
Blighted Fen|Charco Flagelado
Blighted Gorge|Desfiladeiro Flagelado
Blighted Shaman|Xamã Maligno
Blighted Steppe|Estepe Flagelada
Blighted Woodland|Floresta Flagelada
Blightning|Detonar
Blightsoil Druid|Druida da Terra Árida
Blightspeaker|Prega-Praga
Blightsteel Colossus|Colosso de Aço Nefasto
Blightwidow|Viúva-necrótica
Blight|Malogro
Blim, Comedic Genius|Blim, Gênio da Comédia
Blind Creeper|Rastejador Cego
Blind Fury|Fúria Cega
Blind Hunter|Caçador Cego
Blind Obedience|Obediência Cega
Blind Phantasm|Fantasma Cego
Blind Seer|Vidente Cego
Blind Zealot|Zelote Cego
Blind with Anger|Cego de Raiva
Blind-Spot Giant|Gigante Ponto Cego
Blindblast|Explosão Cegante
Blinding Angel|Anjo Ofuscante
Blinding Beam|Raio Ofuscante
Blinding Drone|Zangão Cegante
Blinding Flare|Clarão Cegante
Blinding Fog|Neblina Cegante
Blinding Light|Luz Ofuscante
Blinding Mage|Mago Cegador
Blinding Powder|Pólvora Cegante
Blinding Souleater|Devora-almas Cegante
Blinding Spray|Esguicho Cegante
Blink Dog|Cão Teleportador
Blink of an Eye|Piscar de Olhos
Blinking Spirit|Espírito Lampejante
Blinkmoth Infusion|Infusão de Moscolumes
Blinkmoth Nexus|Nexo de Mosco-lumes
Blinkmoth Urn|Urna de Mosco-Lumes
Blinkmoth Well|Poço de Mosco-Lumes
Blister Beetle|Besouro Vesicante
Blistercoil Weird|Bizarro da Helicosfera
Blistergrub|Larva Cascuda
Blistering Barrier|Barreira Vesicante
Blistering Dieflyn|Dieflyn Ardente
Blistering Firecat|Gato Ígneo Empolado
Blisterpod|Casulário
Blisterspit Gremlin|Gremlin do Cuspe Corrosivo
Blisterstick Shaman|Xamã da Varinha Vesicante
Blitz Automaton|Autômato da Blitz
Blitz Hellion|Avernal do Ataque-relâmpago
Blitz Leech|Sanguessuga de Assalto
Blitz of the Thunder-Raptor|Blitz do Raptor Tonante
Blizzard Brawl|Disputa na Nevasca
Blizzard Elemental|Elemental da Nevasca
Blizzard Specter|Espectro da Nevasca
Blizzard Strix|Strix da Nevasca
Blizzard|Tempestade de Neve
Bloated Contaminator|Contaminador Inchado
Bloated Processor|Processador Inchado
Bloated Toad|Sapo Inchado
Blockade Runner|Forçador do Bloqueio
Blockbuster|Bomba Arrasa-Quarteirão
Blood Age General|General da Idade do Sangue
Blood Artist|Artista do Sangue
Blood Aspirant|Aspirante a Sanguinário
Blood Bairn|Criança Sanguinária
Blood Baron of Vizkopa|Barão Sangrento de Vizkopa
Blood Beckoning|Chamado do Sangue
Blood Burglar|Ladrão de Sangue
Blood Celebrant|Celebrante do Sangue
Blood Clock|Relógio de Sangue
Blood Crypt|Cripta de Sangue
Blood Cultist|Cultor de Sangue
Blood Curdle|Coalhar Sangue
Blood Divination|Adivinhação de Sangue
Blood Feud|Rixa de Sangue
Blood Fountain|Fonte de Sangue
Blood Frenzy|Frenesi de Sangue
Blood Funnel|Funil de Sangue
Blood Glutton|Glutão do Sangue
Blood Host|Anfitrião Sanguinário
Blood Hound|Sabujo de Sangue
Blood Hypnotist|Hipnotizadora do Sangue
Blood Knight|Cavaleiro Sangüinário
Blood Lust|Sede de Sangue
Blood Mist|Névoa de Sangue
Blood Money|Dinheiro Sangrento
Blood Moon|Lua Sangrenta
Blood Oath|Juramento de Sangue
Blood Ogre|Ogre de Sangue
Blood Operative|Agente Sanguinário
Blood Pact|Pacto Sanguíneo
Blood Petal Celebrant|Celebradora das Pétalas de Sangue
Blood Pet|Mascote de Sangue
Blood Price|Preço em Sangue
Blood Reckoning|Vingança Sangrenta
Blood Researcher|Pesquisadora do Sangue
Blood Rites|Ritos de Sangue
Blood Scrivener|
Blood Seeker|Caçador de Sangue
Blood Servitor|Serviçal de Sangue
Blood Speaker|Orador do Sangue
Blood Sun|Sol Sangrento
Blood Tithe|Dízimo de Sangue
Blood Tribute|Tributo de Sangue
Blood Tyrant|Tirano do Sangue
Blood Vassal|Vassalo de Sangue
Blood for Bones|Sangue por Ossos
Blood for the Blood God!|Sangue Para O Deus Do Sangue!
Blood on the Snow|Sangue na Neve
Blood-Chin Fanatic|Fanático Queixo-sangrento
Blood-Chin Rager|Raivoso Queixo-sangrento
Blood-Cursed Knight|Cavaleiro do Sangue Amaldiçoado
Blood-Toll Harpy|Harpia do Pedágio de Sangue
Bloodboil Sorcerer|Feiticeiro do Sangue Fervente
Bloodbond March|Marcha do Pacto de Sangue
Bloodbond Vampire|Vampiro do Elo de Sangue
Bloodbraid Elf|Elfa Tranças-de-sangue
Bloodbraid Marauder|Saqueador Tranças-de-sangue
Bloodbriar|Sarça-sangrenta
Bloodchief Ascension|Ascensão do Grão-Vampiro
Bloodchief's Thirst|Sede de Grão-vampiro
Bloodcrazed Goblin|Goblin Sedento de Sangue
Bloodcrazed Hoplite|Hoplita Sanguinário
Bloodcrazed Neonate|Neonato Sanguimaníaco
Bloodcrazed Paladin|Paladino Sanguimaníaco
Bloodcrazed Socialite|Socialite Sanguimaníaca
Bloodcrusher of Khorne|Bloodcrusher de Khorne
Bloodcurdler|Gela-Sangue
Bloodcurdling Scream|
Bloodfeather Phoenix|Fênix da Pena Sangrenta
Bloodfell Caves|Cavernas Sanguinárias
Bloodfire Colossus|Colosso Sangue Quente
Bloodfire Dwarf|Anão Sangue Quente
Bloodfire Enforcers|Impositores Sangue-ígneo
Bloodfire Expert|Especialista Sangue-ígneo
Bloodfire Infusion|Infusão de Sangue Quente
Bloodfire Kavu|Kavu Sangue Quente
Bloodfire Mentor|Mentor Sangue-ígneo
Bloodflow Connoisseur|Connoisseur do Fluxo Sanguíneo
Bloodforged Battle-Axe|Machado Forjado em Sangue
Bloodfray Giant|Gigante da Cólera Sanguinária
Bloodghast|Terror Sanguinário
Bloodgift Demon|Demônio da Oferenda de Sangue
Bloodhall Ooze|Lodo do Salão Sangrento
Bloodhall Priest|Sacerdotisa do Salão do Sangue
Bloodhaze Wolverine|Carcaju Sanguinévoa
Bloodhill Bastion|Bastião da Colina Sanguinária
Bloodhunter Bat|Morcego Caçador de Sangue
Bloodhusk Ritualist|Ritualista Casca de Sangue
Bloodied Ghost|Fantasma Ensangüentado
Bloodletter Quill|Pena Sanguinária
Bloodline Culling|Ceifa da Linhagem
Bloodline Keeper|Guardião da Estirpe
Bloodline Necromancer|Necromante da Linhagem
Bloodline Pretender|Impostor de Linhagem
Bloodline Shaman|Xamã da Linhagem
Bloodlord of Vaasgoth|Senhor Vampiro de Vaasgoth
Bloodlust Inciter|Incitador da Sede de Sangue
Bloodmad Vampire|Vampira Sanguinsana
Bloodmark Mentor|Mentor Mancha-Sangrenta
Bloodmist Infiltrator|Infiltrador Sanguinévoa
Bloodpyre Elemental|Elemental da Pira Sanguinária
Bloodrage Brawler|Brigão da Ira Sanguinária
Bloodrage Vampire|Vampiro da Ira Sanguinária
Bloodrite Invoker|Invocador do Ritual de Sangue
Bloodrock Cyclops|Ciclope de Olho Injetado
Bloodscale Prowler|Espreitador Escama Sangrenta
Bloodscent|Cheiro de Sangue
Bloodshed Fever|Febre Sanguinária
Bloodshot Cyclops|Cíclope de Olho Injetado
Bloodshot Trainee|Aprendiz de Olho Injetado
Bloodsky Berserker|Amoque do Céu Sangrento
Bloodsoaked Altar|Altar Ensanguentado
Bloodsoaked Champion|Campeão Banhado em Sangue
